,code,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,"label3_('000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81], '000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81], '000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81], '000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81], '000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81], '000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81], '000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81], '000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81], '000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81], '000547', [11.72, 11.75, 11.58, 11.94, 11.75, 11.57, 11.26, 11.27, 11.31, 11.18, 10.84, 11.06, 10.75, 11.02, 11.13, 11.27, 10.75, 10.58, 10.48, 10.5, 10.47, 10.61, 10.69, 10.58, 10.49, 10.49, 10.42, 10.4, 10.2, 10.11, 10.09, 10.18, 10.19, 9.9, 9.72, 9.96, 9.67, 9.43, 9.04, 9.07, 9.37, 9.27, 9.35, 9.32, 9.17, 8.98, 9.02, 9.03, 8.85, 8.77, 8.3, 7.47, 7.57, 7.45, 7.54, 7.44, 7.67, 7.56, 7.39, 7.81])"
1445,002301,0.07,1.22,2984.86,4.26,21.146,699.4087,1.6346,1.5594,57.7145,2.1247,42.3589,0.2429,370.5228,16.197,8.0618,5.3799,2.4796,-12.5,5.3093,1.3958,1.2653,87.4246,244.8186,52.617,47.383,-0.3223,-0.0479,-7.2171,-0.10099999999999999,-10.9337,0
1448,002060,0.02,0.75,2266.17,1.24,8.9947,1812.9444,1.5079,1.1179,80.5081,0.7694,116.9743,0.2528,356.0127,21.8584,15.802,8.1438,10.6808,-44.7059,6.0749,0.8585,0.5917,12.559,141.1704,16.9285,83.0715,-0.0666,-0.0068,-5.2735,-0.0082,-1.4263,0
1450,000661,1.24,4.64,21021.57,20.37,89.3683,1031.5638,6.064,1.7479,51.4904,0.0588,1530.6122,0.1893,475.4358,39.268,45.1024,15.491,17.342,47.619,11.2575,2.5239,1.6769999999999998,48.9519,-23930.4634,69.0777,30.9223,-0.201,-0.0266,-0.6607,-0.0859,-9.2731,0
1452,002721,0.15,2.57,12188.03,2.45,8.8607,4959.8524,5.9419,0.8425,106.8249,0.9856,91.3149,0.3534,254.6689,62.0491,233.592,86.5527,53.5634,200.0,114.4642,1.3365,0.8759,9.8742,247.7974,31.0368,68.9632,0.0874,0.0233,2.9366,0.0337,3.9514,0
1455,603920,0.06,1.05,2480.39,5.3,21.1498,467.7053,1.1640000000000001,0.9902,90.8907,1.9207,46.8579,0.2067,435.4136,18.9033,-49.963,145.0302,107.2522,-62.5,145.0302,2.9684,2.7278,146.8605,264.8336,75.4004,24.5996,0.1832,0.0273,3.4547,0.111,11.3199,-1
1456,600216,0.49,6.18,46534.03,24.2,58.4937,1922.4002,1.9908,1.3465,66.84,0.7122,126.369,0.4043,222.607,61.6805,2149.8551,17.6506,19.0047,1533.3333,10.7458,2.7931,2.0833,83.1466,1348.9999,80.3948,19.6052,-0.0776,-0.0145,-0.3188,-0.0739,-8.3346,0
1457,603966,0.01,0.24,200.06,1.69,24.1307,118.2478,0.7390000000000001,0.4773,188.5607,0.38299999999999995,234.9869,0.1318,682.8528,25.8862,23.254,5.9707,14.4793,0.0,5.9707,3.0015,2.1493,95.5257,620.6741,70.5191,29.4809,-0.2162,-0.0219,-12.7808,-0.0743,-8.4615,-1
1458,600233,0.11,3.37,31558.54,5.9,12.3085,5341.3955,1.8904,4.9655,18.1251,101.8105,0.884,0.8484,106.08200000000001,52.8826,14.5828,15.6371,27.5677,12.8283,13.3372,1.611,1.5977,87.4833,5865.7283,71.8903,28.1097,-0.0735,-0.0288,-1.2262,-0.1023,-11.1295,0
1459,603330,0.09,0.92,559.25,4.38,26.5624,127.6386,2.1273,0.7801,115.3698,1.0004,89.964,0.3014,298.6065,39.6699,42.5668,4.6683,26.6677,28.5714,2.5967,2.4223,1.8379,32.1865,331.1955,73.2186,26.7814,-0.1165,-0.0175,-2.4263,-0.0652,-8.4045,-1
1460,300253,0.03,1.55,4044.61,19.66,45.5811,205.6434,0.1277,0.2087,431.241,1.0282,87.5316,0.1245,722.8916,22.9259,68.3846,7.7036,6.5054,-20.743000000000002,7.8954,2.2132,2.0503,24.3344,2708.1249,77.505,22.495,-1.1188,-0.0633,-6.4348,-0.2813,-31.9392,0
1461,300595,0.29,4.3,3561.88,46.12,74.729,77.2286,0.6212,2.0516,43.8682,0.943,95.4401,0.0961,936.5245,33.2549,33.2019,24.0514,31.303,-32.5581,20.8849,7.0118,6.8222,136.0588,-7970.6012,87.6804,12.3196,0.4871,0.0378,1.0634,0.3069,32.0299,-1
1462,601689,0.27,3.04,19943.17,13.31,29.0768,1497.265,2.0578,1.121,80.2855,0.8534,105.4605,0.2317,388.4333,28.3636,15.4156,87.48200000000001,95.1574,0.0,88.1371,1.6825,1.3447,28.4017,1522.6672,63.6961,36.3039,0.057,0.0081,0.4283,0.0224,2.3092,0
1463,300628,1.31,6.61,19633.87,47.6,60.9763,412.423,2.7616,2.0737,43.4007,1.014,88.7574,0.1402,641.9401,31.7553,39.0507,20.3212,19.8138,-30.4759,20.3212,26.1421,24.9686,103.1697,2200.4697,96.3633,3.6367,0.3437,0.0448,0.7219,1.2312,123.1207,-1
1464,603677,0.1,2.07,1861.11,6.37,19.6729,291.9525,2.0827,1.0969,82.0494,0.7438,121.0003,0.306,294.1176,3.2974,0.8326,5.8543,18.9694,-60.0,5.8543,1.8008,1.1869,13.8438,874.1006,62.7855,37.2145,-0.0608,-0.0122,-0.9543,-0.0329,-3.3263,-1
1466,002675,0.06,1.49,4340.05,10.86,50.7457,399.5042,0.5677,0.6449,139.5565,0.3394,265.1738,0.1878,479.2332,26.3334,36.6095,6.9269,26.8544,38.964,5.6088,1.5196,1.1107,42.0025,1566.0057,62.3402,37.6598,0.1909,0.0142,1.1813,0.0378,5.3304,0
1467,300383,0.1,2.12,13800.78,10.32,20.023,1336.8423,0.9242,1.1087,81.1762,200.5906,0.4487,0.4486,200.6242,54.3271,76.5186,6.8573,19.0491,-16.6667,6.96,2.1446,2.1404,26.3219,699.5625,64.7243,35.2757,-0.0432,-0.0054,-0.3915,-0.0152,-4.0733,-1
1468,603879,0.07,1.81,949.04,9.27,16.8179,102.355,0.7107,0.6131,146.795,1.834,49.0731,0.2111,426.3382,-6.1066,7.5822,95.9858,76.212,-12.5,95.9858,10.5425,9.3596,190.08599999999998,-12090.3331,91.9779,8.0221,-0.1597,-0.0284,-1.7223,-0.3535,-35.4214,0
1469,002342,0.01,0.36,859.54,2.56,17.94,334.6788,0.3486,0.431,208.8167,0.3859,233.22099999999998,0.1451,620.2619,2.2979,-39.1234,-1.1162,-2.4767,-40.0,-1.1162,1.8199,1.2314,30.4873,187.707,59.8445,40.1555,-0.2853,-0.0237,-11.1085,-0.0591,-7.6407,-1
1470,300681,0.31,3.63,2379.12,15.77,26.5949,150.7844,1.9945,0.7246,124.2065,0.7291,123.4399,0.2205,408.1633,36.8284,4.6219,130.0498,85.0805,-21.325,130.0498,4.6321,3.5453,119.0655,-766.3534,75.6903,24.3097,0.0071,0.0012,0.0453,0.005,0.7595,0
1473,600869,0.03,1.31,7036.5,2.05,14.4641,3416.1523,1.5392,0.7140000000000001,126.0504,1.0344,87.007,0.2757,326.4418,22.1003,420.44599999999997,-4.9512,23.7669,498.1132,-6.4968,1.3253,1.0107,18.5245,259.093,30.7942,69.2058,-0.2353,-0.0442,-9.9543,-0.0639,-8.8352,0
