,code,name,weight,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,label3_1,label3_2,label3_3
0,600004,白云机场,0.11,0.21,2.82,43282.66,25.1,39.7124,1723.7986,0.833,1.5905,56.586000000000006,12.7811,7.0416,0.4022,223.7693,8.843,6.2472,36.8322,26.1559,-40.0,37.2012,0.7565,0.7423,47.6129,-11460.2659,66.237,33.763000000000005,0.3693,0.0271,1.4585,0.0803,10.8006,1,1,1
1,600009,上海机场,0.52,0.53,3.97,101791.21,44.63,50.684,2280.7468,1.1835,1.6601,54.2136,55.585,1.6191,0.2316,388.601,20.3458,27.6525,13.1578,2.5104,29.2683,13.2624,5.3215,5.3095,440.5376,-2857.4311,93.5951,6.4049,0.2191,0.0176,0.47200000000000003,0.2752,27.6473,-1,0,0
2,600010,包钢股份,0.29,0.01,1.27,63691.46,4.9,18.3208,12986.7994,0.2848,4.0468,22.2398,0.5165,174.2498,0.3127,287.8158,22.1764,223.5009,5.3317,2.9366,127.8689,5.3744,0.4802,0.2299,9.6537,221.6484,34.2403,65.7597,0.1031,0.0091,2.1059,0.0139,1.5432,1,1,1
3,600011,华能国际,0.35,0.08,1.6,121896.81,2.81,13.4855,43255.6346,2.8456,2.0021,44.9528,4.7681,18.8754,0.8305,108.3685,15.1118,78.1563,1.3725,1.8771,100.0,3.8958,0.3702,0.3149,11.1651,195.7422,24.6598,75.3402,0.2164,0.0245,5.4178,0.0325,6.2292,1,0,0
5,600019,宝钢股份,0.62,0.23,3.01,502053.56,7.44,16.3478,67453.7192,3.0291,4.939,18.2223,1.3339,67.4713,0.498,180.7229,-20.6521,32.8144,9.2889,-4.1835,35.2941,10.1368,0.8590000000000001,0.5773,13.3482,2969.4429999999998,50.8381,49.1619,0.0532,0.0102,0.6488,0.0207,2.2422,1,0,0
6,600023,浙能电力,0.21,0.04,0.94,57283.0,4.43,6.3964,12912.6949,0.9494,2.4867,36.1925,3.7697,23.8746,0.5565,161.7251,17.6878,-38.4012,2.5257,5.0643,-42.8571,2.935,1.3407,1.1257,68.7809,329.1622,61.8946,38.1054,0.1284,0.0148,2.6015,0.0389,9.6789,1,0,0
8,600028,中国石化,0.67,0.16,2.55,1877000.0,3.02,19.3115,621251.0,5.1312,9.7476,9.232999999999999,2.6522,33.9341,1.183,76.0778,6.7102,13.0932,2.7775,6.3296,13.1387,2.358,0.9839,0.6228,32.7775,7026.3736,55.7902,44.2098,0.0194,0.0077,0.4915,0.0173,2.275,1,0,0
9,600029,南方航空,0.24,0.25,4.97,254400.0,7.46,14.4659,34101.0,3.3802,11.2973,7.9665,17.3671,5.1822,1.9418,46.3487,10.1133,55.5435,16.1787,8.8527,56.25,18.1607,0.2452,0.2205,8.9461,-523.4114,29.9216,70.0784,0.1324,0.0205,1.5779,0.0293,6.4239999999999995,1,1,0
10,600031,三一重工,0.49,0.2,5.71,150018.5,12.33,31.9152,12158.955,1.5775,0.633,142.1801,1.0226,88.01100000000001,0.31,290.3226,29.6705,91.2444,16.0323,4.9252,101.6495,16.0473,1.5948,1.272,24.0557,531.3154,44.2937,55.7063,0.2132,0.0406,1.6697,0.0729,9.7866,-1,0,0
13,600048,保利地产,0.9,0.16,1.75,189636.95,9.42,39.7933,20125.237,1.6971,9.8997,9.0912,0.0266,3383.4586,0.0297,3030.303,12.4079,12.8841,35.6553,48.4513,0.0,19.8347,1.8464,0.6187,18.8276,501.8041,21.5527,78.4473,-1.3054,-0.0345,-9.2309,-0.044000000000000004,-6.8275,1,0,0
