,code,name,weight,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,label3_3,label3_2,label3_1
173,002422,科伦药业,0.19,0.13,1.67,19264.84,7.91,43.8168,2434.1996,1.6904,0.6437,139.8167,0.6466,139.1896,0.2563,351.151,21.4472,3.4784,4.9644,8.2351,-7.1429,4.6081,0.8371,0.6658,19.0349,356.154,46.5664,53.4336,0.0851,0.0081,0.9224,0.0151,1.6909999999999998,0,0,0
174,002450,康得新,0.17,0.15,3.42,54149.05,20.05,37.5856,2700.2412,0.765,0.5958,151.0574,2.5288,35.59,0.1193,754.4007,34.501,35.8145,67.3753,46.2354,-38.64,67.7758,2.9730000000000003,2.8805,191.4634,982.6574,57.1602,42.8398,0.4227,0.0404,2.1075,0.0943,14.434000000000001,0,0,-1
175,002456,欧菲科技,0.19,0.18,2.34,19055.89,3.07,11.982999999999999,6192.5429,5.7007,0.8332,108.0173,1.1675,77.0878,0.4019,223.9363,47.0941,52.1756,28.7854,57.506,46.1667,34.1719,1.2035,0.8406,21.3842,343.6308,32.7639,67.2361,-0.0787,-0.0194,-2.5581,-0.0288,-3.6651,1,1,1
176,002460,赣锋锂业,0.18,0.18,5.35,13645.17,21.82,34.0426,625.1532,0.8305,1.4702,61.2162,0.6882,130.7759,0.3609,249.3766,-5.7462,27.0234,30.9316,49.9976,-35.7143,30.8518,1.2113,0.8071,26.0667,1239.7557,57.5696,42.4304,-0.0465,-0.0064,-0.2131,-0.0151,-1.7687,0,-1,-1
177,002466,天齐锂业,0.21,0.41,8.25,40577.87,38.15,68.7858,1063.6318,1.0695,6.1112,14.7271,0.6834,131.6945,0.2634,341.6856,41.0664,47.7682,51.0816,51.4839,-62.2815,53.4834,1.4069999999999998,1.2376,58.0614,-7451.9731,55.3162,44.6838,0.6201,0.0552,1.315,0.1235,22.3015,0,-1,-1
178,002493,荣盛石化,0.14,0.24,4.78,62088.13,3.98,6.8438,15598.5588,6.1315,20.4573,4.3994,5.8736,15.3228,1.0273,87.6083,116.1973,277.9901,16.1422,3.6077,300.0,20.9777,0.8062,0.685,22.3477,432.1906,35.3514,64.6486,0.0372,0.0133,0.9784,0.0206,2.8253,1,1,1
179,002508,老板电器,0.1,0.35,5.91,25157.67,18.47,58.9935,1361.8835,1.8654,4.6905,19.1877,0.5999,150.025,0.2431,370.218,33.9808,54.2845,30.6579,30.5709,2.9412,30.6285,2.435,2.0377,152.3242,-1685.1303,64.154,35.846,0.1366,0.0271,0.7397,0.0757,7.8046,1,1,1
180,002555,三七互娱,0.06,0.21,9.13,43303.32,26.75,66.885,1618.7379999999998,0.7764,2.0266,44.4094,6.0197,14.9509,0.5804,155.0655,36.2834,107.4995,33.6898,43.0833,2.4631,31.615,1.6788,1.6216,67.2517,39627.3775,73.0053,26.9947,0.3946,0.0909,1.2890000000000001,0.3366,34.2815,0,-1,-1
182,002572,索菲亚,0.12,0.17,1.97,7722.63,8.09,32.3579,953.8008,2.0657,8.012,11.2332,2.4587,36.6047,0.3075,292.6829,48.3008,57.9056,82.9619,82.4348,40.2347,85.4636,2.5985,2.3787,158.2082,-1658.7186,77.0413,22.9587,-0.1783,-0.032,-2.5825,-0.1393,-14.5868,1,1,1
183,002594,比亚迪,0.49,0.2,1.15,60579.5,2.87,21.0034,21046.138,7.7144,0.5069,177.5498,0.9643,93.33200000000001,0.2701,333.2099,3.7510000000000003,-12.9539,52.7325,30.409000000000002,-37.5,57.1003,1.0587,0.8254,13.1001,368.9989,38.4982,61.5018,-0.1149,-0.0165,-3.095,-0.0269,-3.2998,0,0,0
