,code,name,weight,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,label3_3,label3_2,label3_1
147,000703,恒逸石化,0.16,0.83,11.58,135101.42,2.86,3.8252,47089.9328,28.5666,49.6665,5.4363,21.9145,12.3206,4.1447,65.1434,112.7426,168.6623,25.7876,7.3094,112.8205,18.2724,0.7633,0.6155,29.9457,594.9426,51.1128,48.8872,0.0062,0.0093,0.192,0.0189,1.9687,-1,-1,-1
148,000709,河钢股份,0.13,0.21,4.81,219507.71,2.52,11.8364,86905.7094,8.1842,39.1347,6.8992,2.7352,98.7131,1.5863,170.2074,47.0189,171.6236,3.7336,5.1757,135.4949,4.3493,0.4929,0.2567,15.498,207.2105,25.5093,74.4907,0.136,0.063,5.0747,0.0845,10.6391,0,0,1
149,000725,京东方A,0.66,0.19,7.96,647566.72,9.32,26.125,69408.3561,1.9945,4.4430000000000005,60.7698,5.9634,45.2762,0.7421,363.8324,51.4081,4196.7764,27.7756,36.4095,4525.0,8.5322,2.0262,1.8286,113.0066,676.4313,43.8507,56.1493,0.2664,0.0774,2.7217,0.1378,39.0225,0,0,-1
151,000768,中航飞机,0.2,0.05,0.82,12701.05,0.65,6.7881,19496.3174,7.0418,2.3258,116.0891,1.2486,216.2422,0.5665,476.6108,26.9283,-7.4986,2.0378,15.2326,7.7465,2.0776,1.3978,0.79,18.4243,819.6865,38.6674,61.3326,-0.0898,-0.0382,-15.1862,-0.0622,-6.4959,0,1,1
154,000786,北新建材,0.12,0.88,14.24,156463.5,19.29,34.0519,8107.1056,4.5327,40.8447,6.6104,4.0585,66.527,1.4813,182.2723,37.9964,51.571000000000005,16.7086,15.2942,58.2278,39.5928,1.609,1.2507,40.8906,3256.9929,71.4696,28.5304,0.2275,0.1124,1.1703,0.39399999999999996,47.8004,0,0,-1
156,000839,中信国安,0.1,0.06,3.68,24786.07,7.72,20.491,3206.551,0.818,3.4468,78.3335,1.7690000000000001,152.6286,0.643,419.9067,22.8923,32.6077,11.1998,25.4461,13.059000000000001,4.2392,0.8946,0.6349,36.7582,311.1584,45.9695,54.0305,-0.1834,-0.0359,-1.9887,-0.0664,-9.7855,1,1,1
157,000858,五 粮 液,1.05,1.84,14.09,696476.32,31.69,71.1065,21977.5966,5.7897,195.3425,1.3822,0.6625,407.5472,0.3888,694.4444,24.1697,37.1626,11.6429,9.5092,36.5327,11.525,4.1987,3.4878,265.4,-1415.4672,78.4665,21.5335,0.2772,0.0922,0.8387,0.4282,43.6949,0,-1,-1
158,000895,双汇发展,0.25,0.96,23.16,315103.87,8.45,19.4218,37270.1492,11.2954,353.9427,0.7628,10.0032,26.9914,4.8175,56.0457,-2.8233,-2.8989999999999996,2.6564,3.0748,-3.8462,2.8625,1.0986,0.7358,66.0833,6841.3198,64.7216,35.2784,0.1195,0.2006,1.3513,0.5685,58.0247,0,0,0
159,000898,鞍钢股份,0.1,0.45,7.08,328500.0,5.42,12.2467,60506.0,8.3631,30.1025,8.9694,4.8092,56.1424,2.2865,118.0844,47.4354,240.9514,7.7919,0.3857,236.2963,7.8143,0.7967,0.4571,5.5993,490.3263,54.5452,45.4548,0.0544,0.0373,0.9979,0.08199999999999999,9.6196,0,0,1
160,001979,招商蛇口,0.44,0.47,6.59,371810.16,14.03,26.5897,26485.6402,3.3508,106.50399999999999,2.5351,0.1503,1796.4072,0.1131,2387.2679,-27.8949,-35.4585,15.3022,24.5709,-33.8028,11.3063,1.6106,0.7064,28.0036,1720.7358,25.989,74.01100000000001,-0.5683,-0.05,-3.2716,-0.0675,-9.4137,0,0,0
161,002001,新和成,0.14,0.83,10.87,90104.69,22.01,42.7824,4092.1713,3.758,4.3961,61.4181,1.8586,145.2706,0.703,384.0683,19.5709,1.7986,7.7312,9.4514,6.4103,7.9673,2.242,1.7564,95.2143,1014.0949,69.2971,30.7029,0.1899,0.0648,0.8722,0.2109,29.4986,-1,-1,-1
162,002007,华兰生物,0.2,0.67,13.67,61909.87,37.15,62.8806,1666.1956,1.7914,3.1281,86.3144,0.5859,460.8295,0.5039,535.8206,18.4824,0.5677,8.8467,11.2852,1.9296,10.3851,10.6603,6.9626,35.2751,-6565.4085,93.5235,6.4765,0.0204,0.0068,0.0558,0.1057,10.5691,0,0,1
163,002008,大族激光,0.28,1.41,24.58,150215.41,16.85,42.9992,8914.357,8.354,2.2889,117.9606,2.0855,129.4654,1.111,243.0243,78.6866,138.1974,32.3726,63.3515,138.9831,33.2441,1.3419,0.9542,19.9294,1208.6989,45.8297,54.1703,0.008,0.0046,0.0471,0.0084,0.9099,0,1,-1
165,002027,分众传媒,0.41,0.32,46.98,391653.76,44.86,72.2835,8729.5768,0.7136,3.1096,86.8279,899.5623,0.3001,0.88,306.8182,15.7438,24.4787,24.565,26.9044,-13.5135,24.4795,2.4634,2.4627,113.7905,-3099.4992,67.314,32.686,0.2736,0.1893,0.6123,0.579,59.0223,0,-1,-1
166,002032,苏泊尔,0.09,1.09,19.0,89636.77,8.53,29.5614,10496.6383,12.7807,7.7411,34.8788,4.6687,57.8319,1.5728,171.6684,18.8533,12.3918,17.6124,22.2315,-7.3729,18.0704,2.0503,1.6098,24.057,-278360.1119,59.5708,40.4292,0.0784,0.0988,0.9169,0.2443,24.6363,0,0,0
167,002050,三花智控,0.14,0.48,16.11,97901.0,13.61,30.819000000000003,7189.6484,3.3908,5.2232,51.6924,3.6256,74.4704,1.0324,261.5265,39.635999999999996,46.6224,47.2877,43.7348,29.7297,47.391999999999996,2.593,2.1168,91.2006,1343.7392,65.2409,34.7591,0.0795,0.0485,0.5754,0.1395,17.6842,0,0,-1
168,002065,东华软件,0.14,0.29,9.81,90034.05,21.29,33.4016,4227.8415,1.3465,0.8805,306.644,0.8364,322.8121,0.3958,682.1627,17.7112,44.2775,7.0614,19.4593,-28.9747,7.1752,2.3154,1.5775,19.9416,3983.1362,64.3172,35.6828,-0.1041,-0.0306,-0.4882,-0.0857,-8.6917,1,1,1
169,002081,金螳螂,0.14,0.54,13.69,143713.3,9.13,16.6093,15731.4269,5.9514,0.8461,319.1112,60.5965,4.4557,0.684,394.7368,5.7038,6.574,14.9042,5.0716,5.3886,13.8771,1.4409,1.4266,13.3772,1937.8507,40.3712,59.6288,0.0125,0.006999999999999999,0.1349,0.0118,1.18,0,-1,-1
170,002085,万丰奥威,0.11,0.32,12.71,70909.86,9.69,21.8345,7315.8117,3.3453,4.4108,61.2134,5.2132,51.7916,1.6172,166.9552,6.2281,0.7327,15.0178,3.7541,-17.9487,19.9486,2.08,1.5535,40.5507,1513.9851,67.5195,32.4805,0.0978,0.076,0.8836,0.2339,32.7927,0,0,0
171,002120,韵达股份,0.04,0.97,27.4,117607.73,17.19,30.8148,6838.9398,5.6183,24.0037,11.2483,184.543,1.4631,1.9877,135.8354,799.695,1602.2492,934.3901,746.0325,136.5854,956.8899,1.2425,1.2338,30.3348,-49261.9888,61.7271,38.2729,0.2064,0.1804,1.2002,0.4713,47.8948,0,0,1
172,002146,荣盛发展,0.15,0.64,11.4,279051.19,12.86,28.511,21686.7082,4.9875,44.1334,6.1178,0.1521,1775.1479,0.1435,1881.5331,15.9016,30.2977,13.0939,37.3235,28.0,13.8075,1.4836,0.4381,12.714,8261.8736,14.9079,85.0921,-0.3491,-0.0431,-2.5164,-0.0506,-6.8838,0,0,-1
173,002153,石基信息,0.09,0.26,5.5,27846.18,14.17,44.9485,1964.7646,1.8417,5.7108,47.2788,3.5311,76.4634,0.5475,493.1507,19.3034,2.1879,5.2388,5.8715,4.0,6.7591,4.9497,4.4626,219.7075,-1014.2813,83.7425,16.2575,0.0363,0.0114,0.2537,0.0701,9.9111,0,0,-1
174,002179,中航光电,0.14,0.8,14.33,62942.8,13.98,36.5723,4499.6686,5.6884,1.6646,162.2011,2.2912,117.8422,0.6584,410.0851,3.1075,10.7265,18.2023,13.0768,-13.9906,19.3632,1.9085,1.5823,34.8279,1444.7029,56.5373,43.4627,0.0015,0.0007,0.0099,0.0016,0.1776,0,0,-1
