,code,name,weight,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,"label3_('300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18], '300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18], '300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18], '300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18], '300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18], '300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18], '300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18], '300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18], '300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18], '300498', [23.09, 23.32, 24.09, 23.87, 24.13, 24.3, 23.42, 24.06, 23.6, 23.99, 24.2, 24.41, 25.08, 25.01, 25.26, 25.21, 24.0, 24.69, 24.44, 24.9, 25.05, 25.17, 24.97, 24.84, 23.83, 24.13, 24.99, 24.95, 24.93, 24.9, 24.52, 24.09, 24.16, 23.82, 24.16, 24.43, 24.25, 24.93, 25.35, 25.57, 26.1, 26.05, 26.95, 26.69, 26.28, 26.45, 26.01, 26.3, 25.54, 25.11, 25.12, 25.28, 24.91, 25.87, 25.77, 26.16, 26.08, 26.14, 25.88, 26.18])"
33,600196,复星医药,0.2,1.07,10.26,270792.34,10.86,58.4028,24918.2736,9.722000000000001,7.252999999999999,49.6346,3.4334,104.8523,1.5075,238.80599999999998,34.4495,-15.7695,12.9491,13.8458,-15.748,10.4666,1.0044,0.821,47.684,594.2876,47.6146,52.3854,0.1184,0.0418,0.9769,0.0798,16.4597,0
34,600208,新湖中宝,0.11,0.29,7.64,250620.17,14.54,28.5332,17227.1147,2.0033,37.4836,9.6042,0.1898,1896.7334,0.1969,1828.3393,-1.5589,-19.6065,4.5196,12.284,-25.641,4.3859,2.0926,0.5071,36.1464,307.7848,24.5844,75.4156,-0.2193,-0.027000000000000003,-1.403,-0.0358,-8.516,0
35,600219,南山铝业,0.12,0.15,4.35,143797.71,7.11,17.3817,20222.362,1.6921,9.5885,37.545,3.4079,105.6369,1.0951,328.7371,18.482,-11.4989,16.1508,13.5941,-11.7647,16.7462,2.3833,1.8092,69.062,794.5895,76.9758,23.0242,0.10800000000000001,0.0418,1.4342,0.1813,23.9163,0
36,600233,圆通速递,0.06,0.67,18.89,190398.29,6.93,13.2203,27465.1445,9.7096,21.9007,16.4378,446.4812,0.8063,3.4951,103.0013,37.448,33.5096,25.9666,41.1886,31.9382,24.7343,1.8285,1.8157,84.3507,-13848.5965,59.0625,40.9375,0.0851,0.11699999999999999,1.2093,0.2858,48.5157,0
37,600276,恒瑞医药,2.02,1.1,23.6,406560.97,23.34,86.5967,17417.9011,4.7304,5.0042,71.9396,2.565,140.3509,1.0706,336.26,25.8916,23.3295,24.1766,23.9578,-3.2797,28.3733,7.2462,6.8329,155.9856,-3538.7529999999997,88.536,11.464,0.1593,0.1241,0.6831,1.0822,111.2518,0
38,600297,广汇汽车,0.09,0.39,9.08,325741.75,1.96,10.3106,166172.992,20.2215,56.9579,6.3205,7.9184,45.4637,1.9814,181.6897,3.3983,-11.7799,4.4023,4.6186,-26.4151,4.7482,1.1205,0.8502,47.8473,274.3138,32.6412,67.3588,0.013000000000000001,0.0153,0.5435,0.0227,2.832,-1
39,600299,安迪苏,0.02,0.35,6.9,92613.07,8.11,34.8944,11417.9818,4.2574,7.4739,48.1676,4.4121,81.5938,1.1113,323.9449,9.8113,-27.4687,0.8188,0.5827,-28.5714,3.3283,3.6711,2.9789999999999996,206.622,-3679.0598,81.0986,18.9014,0.1263,0.0672,1.1859,0.3555,56.3929,0
40,600309,万华化学,0.6,3.88,36.82,1061037.99,17.5,33.8278,60621.1934,22.1729,22.5552,15.9608,5.4173,66.4538,2.2066,163.1469,14.1144,-3.6041,27.6265,16.8393,-5.1345,23.8244,0.9019,0.6651,15.4521,2109.7335,51.0324,48.9676,0.3177,0.2504,1.501,0.5113,58.3922,-1
41,600332,白云山,0.16,2.12,16.93,344098.01,8.14,23.8421,42233.8381,25.9774,7.0471,51.0848,4.9744,72.3705,1.3088,275.0611,101.5528,66.7826,20.1451,81.8213,66.877,14.9081,1.5968,1.2542,59.7982,-60290.9097,44.9548,55.0452,0.1235,0.1013,1.4763,0.1841,19.3585,0
42,600340,华夏幸福,0.24,3.79,35.19,1174579.25,14.01,41.6233,83798.5902,27.9026,3.1416,114.5913,0.20199999999999999,1782.1782,0.2339,1539.1193,40.5182,34.022,-22.9706,9.0051,33.9223,18.0118,1.5168,0.4676,20.3209,1910.8788,13.3547,86.6453,-0.0886,-0.0181,-0.6293,-0.0209,-3.0618,0
43,600346,恒力石化,0.27,0.68,13.29,332261.09,5.53,12.7424,60067.2552,11.8879,227.6028,1.5817,5.0415,71.4073,2.4793,145.2023,169.5053,95.0164,279.426,536.2586,11.4754,285.5601,0.73,0.3892,22.7297,380.0832,22.2834,77.7166,0.0688,0.033,1.2143,0.0424,7.6204,0
44,600352,浙江龙盛,0.26,1.26,22.06,411136.46,21.55,45.4326,19075.7803,5.8634,6.8462,52.5839,0.473,761.0994,0.5672,634.6968,26.3221,54.2095,16.0051,12.6496,66.1888,17.8591,2.4761,0.8647,27.2769,1435.5118,42.0486,57.9514,0.0564,0.0206,0.2555,0.0356,7.3821,0
45,600362,江西铜业,0.12,0.71,5.03,244747.57,1.13,3.6314,215289.8668,62.1734,18.9414,19.006,11.1375,32.3232,3.2447,110.9502,4.9954,43.3818,4.0883,5.5373,54.3478,4.6997,1.507,1.133,49.4675,505.1792,50.5772,49.4228,0.038,0.0795,3.3338,0.1609,17.734,0
46,600372,中航电子,0.06,0.27,6.62,47932.86,6.27,29.6796,7643.4301,4.3448,1.2376,290.8856,1.5383,234.0246,0.4826,745.9594,8.8325,-13.66,6.3762,2.1747,-11.0571,6.4961,1.4489,1.1088,23.1554,285.6603,36.5499,63.4501,0.0046,0.0016,0.0723,0.0025,0.3187,0
47,600383,金地集团,0.22,1.79,18.66,809842.21,16.09,42.6846,50311.8175,11.1442,608.4498,0.5917,0.2938,1225.3233,0.2531,1422.3627,34.7679,27.7227,14.7036,33.8618,17.7632,13.9497,1.6189,0.8216,31.2984,-2212.8196,23.8823,76.1177,-0.0363,-0.0066,-0.1511,-0.0086,-1.3003,0
48,600390,五矿资本,0.03,0.6,7.01,224936.06,27.31,39.4689,8234.8525,2.1969,276.8114,1.3005,24.2833,14.825,0.1679,2144.1334,-16.8943,-4.5219,4.0985,1.9617,-15.4789,3.7107,0.6646,0.662,46.7662,1558.4759,29.8611,70.1389,0.1302,0.0089,0.4007,0.0127,1.5945,0
49,600398,海澜之家,0.07,0.77,28.7,345477.42,18.09,40.84,19089.7284,4.2489,29.8283,12.0691,1.2572,286.3506,0.9688,371.5937,4.8881,3.8025,17.1561,17.9022,4.0541,15.9314,1.6893,0.9541,81.6912,-120510.4874,44.2524,55.7476,0.1267,0.0818,0.7001,0.1467,18.7764,0
50,600406,国电南瑞,0.31,0.93,16.9,416207.46,14.58,28.7425,28540.3708,6.2265,1.7603,204.5106,3.5741,100.7247,0.7416,485.4369,17.9456,20.1759,38.9637,13.8372,17.7215,43.368,1.8318,1.5736,34.4267,-5535.8793,56.1358,43.8642,0.1124,0.0613,0.721,0.1397,14.2306,0
51,600436,片仔癀,0.29,1.89,24.98,114293.29,23.98,42.4199,4766.1569,7.8999,10.92,32.967,1.886,190.8802,1.0089,356.8243,28.3311,44.6295,19.9398,17.8724,41.0448,21.2872,4.0552,2.7623,216.05599999999998,-13042.839,79.7208,20.2792,0.1285,0.092,0.5425,0.4535,47.476000000000006,0
