,code,name,weight,eps,roe,net_profits,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,label3_1,label3_2,label3_3
152,000703,恒逸石化,0.16,1.0,14.21,162198.96,2.52,3.7239,64283.8481,38.9971,68.1105,5.2855,31.9622,11.2633,5.7023,63.1324,98.2886,107.5046,19.9595,20.8236,63.9344,9.5367,0.6544,0.5411,26.5672,723.6374,47.6458,52.3542,0.0368,0.071,1.2812,0.1356,13.925999999999998,0,0,0
153,000725,京东方A,0.66,0.22,9.25,756768.25,8.06,25.0724,93800.4792,2.6955,5.917000000000001,60.8416,8.3715,43.003,0.9831,366.1886,36.1486,284.3401,13.3327,24.8489,301.8519,7.7634,2.0062,1.8261,114.8982,600.0486,40.7187,59.2813,0.28,0.1026,3.3417,0.17300000000000001,52.8126,1,1,0
155,000768,中航飞机,0.2,0.17,3.03,47140.17,1.51,7.2648,31079.0469,11.2253,4.6603,77.2482,2.2292,161.4929,0.972,370.3704,18.9772,4.261,-0.3086,3.8808,14.1421,2.2889,1.4608,0.8759,28.1957,1250.5382,43.3209,56.6791,0.0421,0.0321,2.7607,0.0567,5.8315,-1,-1,0
157,000786,北新建材,0.12,1.31,20.66,234398.54,20.99,37.2296,11164.3435,6.242000000000001,108.3265,3.3233,5.5798,64.5184,2.1744,165.5629,36.8837,60.7003,19.4249,12.2748,65.3216,19.6582,1.9095,1.4746,21.198,2952.4640000000004,77.5614,22.4386,0.2377,0.1647,1.1271,0.7342,91.6348,-1,0,0
158,000839,中信国安,0.1,0.07,3.87,25937.13,5.94,18.5222,4362.3897,1.1129,5.0461,71.3422,2.2883,157.322,0.9152,393.3566,11.0857,31.7186,10.5481,13.2979,12.7768,3.2695,0.7153,0.4566,24.0817,274.0754,44.361000000000004,55.638999999999996,-0.0685,-0.0178,-0.9942,-0.032,-4.3314,1,1,1
159,000895,双汇发展,0.25,1.31,31.4,431929.99,8.56,18.9112,50447.335999999996,15.2891,427.73900000000003,0.8416,13.3075,27.0524,5.9149,60.8632,-2.6534,-1.1182,2.6451,8.1358,-1.9107,2.917,1.3523,0.9570000000000001,83.2335,10548.4036,66.9898,33.0102,0.11199999999999999,0.2447,1.2526,0.7413,76.2794,1,0,0
160,000898,鞍钢股份,0.1,0.78,11.81,560500.0,6.64,13.7196,84310.0,11.6533,38.2792,9.4046,6.5804,54.7079,3.1081,115.8264,45.6584,247.4923,11.2568,1.2888,247.5336,11.3431,0.8634,0.5116,7.3629999999999995,566.7802,56.483999999999995,43.516000000000005,0.0743,0.0703,1.1169,0.1615,18.9377,1,1,1
161,000961,中南建设,0.11,0.16,4.39,60266.16,1.97,16.3085,30552.3275,8.2355,4.4151,81.5384,0.2763,1302.9316,0.2227,1616.5245,-11.2872,25.5658,2.4303,49.315,39.9655,3.6467,1.3998,0.4578,12.116,369.5373,9.4845,90.5155,-0.0962,-0.0168,-5.4642,-0.0185,-2.4938,1,0,0
162,000963,华东医药,0.21,1.83,23.02,177950.61,6.39,26.1216,27831.8231,28.6301,5.9526,60.4778,6.3357,56.8209,2.2718,158.4647,9.6619,22.9779,15.2715,10.5882,-39.0,15.3155,2.0929,1.5356,40.9825,4995.6462,55.0998,44.9002,0.0597,0.1039,0.8797,0.2314,27.1756,-1,-1,0
163,000983,西山煤电,0.09,0.5,9.14,156910.57,5.47,33.4522,28655.2737,9.0934,8.1955,43.9265,5.8863,61.159,1.8652,193.0088,46.1188,307.5096,9.3469,7.3757,261.5832,9.0605,0.6939,0.5556,17.2566,394.2319,36.6305,63.3695,0.1897,0.0939,2.9574,0.1482,22.8202,1,1,1
164,001979,招商蛇口,0.44,1.55,20.32,1222030.82,16.19,37.6588,75454.6822,9.5462,337.6273,1.0663,0.3379,1065.404,0.3033,1186.9436,18.6901,23.16,19.2186,32.6601,27.8667,21.1548,1.7129,0.7313,27.7243,2580.9428,27.8944,72.1056,-0.0624,-0.0142,-0.3137,-0.0196,-2.8144,1,1,0
165,002001,新和成,0.14,1.57,19.87,170441.34,27.33,50.4691,6235.1081,4.9331,4.8514,74.2054,2.2095,162.9328,0.7116,505.9022,32.766999999999996,39.8583,72.9988,59.3532,42.7273,73.1077,3.8331,3.3275,239.2926,1501.3299,76.9744,23.0256,0.204,0.0699,0.742,0.3038,41.3555,1,1,1
166,002008,大族激光,0.28,1.56,27.6,166504.39,14.4,41.2691,11560.0935,10.8335,3.8047,94.6198,3.2835,109.6391,1.5989,225.1548,66.1198,126.7808,31.2797,36.0047,119.7183,31.5677,1.4431,1.0714,37.7315,905.1515,51.6467,48.3533,0.1707,0.1399,1.1536,0.2894,32.0228,-1,0,0
167,002024,苏宁易购,0.39,0.45,5.76,421251.6,2.24,14.099,187927.764,20.1854,107.6114,3.3454,9.8004,36.7332,2.2081,163.0361,26.478,721.0209,19.6014,14.6605,462.5,20.1625,1.3667,1.078,52.9532,1513.5424,53.1723,46.8277,-0.0351,-0.042,-1.6311,-0.0897,-10.2784,-1,0,0
168,002032,苏泊尔,0.09,1.6,26.87,130760.66,9.21,29.5567,14187.3474,17.2745,11.1067,32.4129,5.1478,69.9328,1.9954,180.415,18.7512,15.3349,14.046,16.7742,-6.4836,14.4778,1.9547,1.401,19.7473,-1232489.2891,56.6798,43.3202,0.0762,0.1179,0.8269,0.2722,27.3922,1,0,0
169,002044,美年健康,0.3,0.24,10.0,61380.01,9.84,46.9627,6233.0508,2.3961,5.4839,65.6467,51.5332,6.9858,1.791,201.005,102.2496,83.434,92.6065,108.3518,71.4286,96.1139,1.0279,1.0092,56.888999999999996,910.7713,55.3138,44.6862,0.2318,0.1158,2.0805,0.259,32.3504,-1,-1,0
170,002050,三花智控,0.14,0.6,19.12,123595.21,12.89,31.2338,9581.2438,4.5187,6.8638,52.4491,4.3051,83.6218,1.3373,269.1991,41.5416,45.1434,47.6817,47.0234,25.0,47.9596,2.3393,1.8448,39.9848,1283.186,64.1826,35.8174,0.0677,0.0525,0.5186,0.1467,17.277,1,0,0
171,002065,东华软件,0.14,0.21,7.49,66379.96,9.1,29.6958,7290.1285,2.3218,1.6239,221.6885,1.5379,234.0854,0.6807,528.8673,12.5585,-25.2863,1.2883,13.8867,-63.1129,1.278,2.3323,1.6061,34.6067,1907.2562,63.7335,36.2665,0.023,0.0118,0.252,0.0327,3.3178,1,0,0
172,002081,金螳螂,0.14,0.73,17.88,191849.56,9.13,16.8027,20996.4059,7.9432,1.1706,307.5346,89.7227,4.0124,0.9079,396.5194,7.1209,13.6268,15.8582,5.0773,14.0625,15.2336,1.5093,1.4972,16.7102,1920.7798,41.6903,58.3097,0.0846,0.0631,0.9225,0.1081,11.092,1,1,0
173,002085,万丰奥威,0.11,0.41,15.96,90056.33,8.84,20.1725,10177.2268,4.6537,5.5752,64.5717,7.5963,47.3915,2.1151,170.2047,7.2899,-7.6282,13.5157,8.1886,-22.6415,13.2985,1.8808,1.4784,35.9696,1449.0141,65.0163,34.9837,0.0953,0.0965,0.9697,0.2758,35.6414,1,1,1
174,002120,韵达股份,0.04,1.31,35.45,158931.96,15.91,28.9805,9985.5739,8.2033,33.9618,10.6001,281.4501,1.2791,2.5033,143.8102,35.8634,34.3631,39.9391,40.0966,-0.7576,39.6033,1.1606,1.1546,44.1367,-35687.1947,55.8934,44.1066,0.2973,0.3158,1.8699,0.716,72.3997,-1,-1,0
175,002153,石基信息,0.09,0.39,8.64,41902.87,14.15,44.6327,2961.1866,2.7757,7.5559,47.6449,6.1405,58.6271,0.7709,466.9866,11.2138,4.7231,5.3224,12.0558,8.3333,6.3169,3.5856,3.346,151.3246,-53121.3122,79.5686,20.4314,0.1733,0.0756,1.2073,0.37,45.2715,0,0,0
176,002179,中航光电,0.14,1.05,18.41,82535.08,12.97,35.0368,6361.8131,8.0426,2.5124,143.2893,3.1599,113.9277,0.8838,407.332,8.6597,11.5757,17.6882,17.8652,-13.7295,19.052,1.8284,1.5159,38.5072,1322.7967,54.1187,45.8813,0.0755,0.0479,0.5541,0.1043,11.2168,-1,-1,0
177,002202,金风科技,0.25,0.84,15.04,305465.69,12.15,30.2394,25129.456000000002,7.0663,1.7009,211.6527,4.8192,74.7012,0.7595,473.9961,-4.7976,1.3869,13.4124,12.9594,-22.6086,13.5689,1.1176,0.9797,27.8275,544.1868,32.2513,67.7487,0.1203,0.0415,0.9602,0.0613,10.2142,-1,0,0
178,002230,科大讯飞,0.38,0.33,5.74,43467.6,7.98,51.3794,5444.6881,3.9207,2.5032,143.8159,3.5428,101.6145,0.8524,422.3369,63.9731,-3.5425,10.1644,28.1007,-10.8108,9.2939,1.6112,1.4131,65.452,-2133.3873,59.6125,40.3875,0.0666,0.0272,0.757,0.0673,8.0693,-1,-1,0
179,002236,大华股份,0.22,0.82,25.47,237872.68,12.62,38.2339,18844.4581,6.5008,2.7419,131.2958,4.6458,77.4893,1.234,291.7342,41.3784,31.3031,25.724,38.832,30.1587,27.0659,1.7704,1.4875,40.1383,1678.0789,49.6554,50.3446,0.0485,0.0429,0.3847,0.0851,9.2195,0,0,0
