date,close,open,high,low,volume,MA5,EMA10,MA10,MA20,MA30,MA60,EMA20,EMA30,KValue,DValue,JValue,PSY
2018-01-02,16.0,15.99,16.16,15.68,60926.66,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,55.55555555555554,51.85185185185184,44.44444444444443,50.0
2018-01-03,15.9,15.9,16.17,15.87,32450.8,15.95,15.98181818181818,15.98181818181818,15.99047619047619,15.993548387096775,15.99672131147541,15.99047619047619,15.993548387096775,52.003023431594826,51.90224237843283,51.700680272108826,50.0
2018-01-04,15.67,15.8,15.9,15.66,27247.0,15.856666666666667,15.925123966942147,15.925123966942147,15.959954648526077,15.972674297606662,15.986009137328674,15.959954648526077,15.972674297606662,35.32227705897169,46.37558727194578,68.48220769789395,50.0
2018-01-05,15.57,15.66,15.86,15.54,32086.0,15.785,15.860555972952664,15.860555972952664,15.922816110571212,15.946695310664298,15.972369493481832,15.922816110571212,15.946695310664298,25.13548629328277,39.295553612391444,67.6156882506088,50.0
2018-01-08,15.92,15.43,15.97,15.42,34449.27,15.812000000000001,15.871363977870361,15.871363977870361,15.922547909564429,15.944973032556925,15.970652460908656,15.922547909564429,15.944973032556925,38.979213084410674,39.19010676973119,39.611894140372215,50.0
2018-01-09,15.9,15.91,16.07,15.61,35295.0,15.792000000000002,15.876570527348477,15.876570527348477,15.920400489605912,15.942071546585511,15.968335986780504,15.920400489605912,15.942071546585511,47.31947538960708,41.899896309689815,31.060738149855297,50.0
2018-01-10,15.97,15.95,16.14,15.82,39732.33,15.806000000000001,15.893557704194208,15.893557704194208,15.925124252500586,15.943873382289674,15.968390544590978,15.925124252500586,15.943873382289674,55.990761370849135,46.59685133007625,27.809031248530474,50.0
2018-01-11,16.51,15.97,16.88,15.88,164367.23,15.974,16.005638121613444,16.005638121613444,15.980826704643388,15.980397680206469,15.98614823165357,15.980826704643388,15.980397680206469,62.21301899609125,51.802240552081244,30.980683664061246,50.0
2018-01-12,16.48,16.46,16.65,16.27,126984.25,16.156,16.091885735865546,16.091885735865546,16.028367018486875,16.012630087935086,16.002340092910828,16.028367018486875,16.012630087935086,65.67625923940332,56.42691344785527,37.928221864759166,50.0
2018-01-15,16.55,16.46,16.6,16.1,71283.63,16.282,16.175179238435444,16.175179238435444,16.078046350059555,16.04729911451992,16.02029615543834,16.078046350059555,16.04729911451992,69.58325958425978,60.8123621599901,43.27056731145075,50.0
2018-01-16,16.35,16.53,16.65,16.31,42674.63,16.372000000000003,16.20696483144718,16.20696483144718,16.10394669767293,16.066828203905732,16.031106117555115,16.10394669767293,16.066828203905732,67.62171643516866,63.082146918382946,54.003007884811524,50.0
2018-01-17,16.29,16.36,16.36,15.96,63177.8,16.436,16.22206213482042,16.22206213482042,16.121666059799317,16.081226384298912,16.0395944415697,16.121666059799317,16.081226384298912,64.94415798874257,63.70281727516949,61.22013584802332,50.0
2018-01-18,16.18,16.21,16.4,16.17,52324.0,16.369999999999997,16.21441447394398,16.21441447394398,16.127221673151762,16.087598875634466,16.044197902501843,16.127221673151762,16.087598875634466,60.64770349934437,62.68444601656111,66.7579310509946,33.33333333333333
2018-01-19,16.2,16.24,16.34,15.81,132477.34,16.314,16.211793660499616,16.211793660499616,16.134152942375405,16.094850561077404,16.049306167993585,16.134152942375405,16.094850561077404,58.24002151097842,61.20297118136688,67.12887052214379,41.66666666666667
2018-01-23,17.51,16.21,17.72,16.21,208150.48,16.506,16.447831176772414,16.447831176772414,16.265185995482508,16.18615052487886,16.097197769042975,16.265185995482508,16.18615052487886,69.11653607978275,63.840826147505496,53.289406282951006,50.0
2018-01-24,18.19,17.51,18.42,17.38,418685.28,16.874000000000002,16.764589144631973,16.764589144631973,16.448501614960364,16.315431136177,16.16581423563173,16.448501614960364,16.315431136177,76.85546849763294,68.17904026421465,50.826183797378064,58.333333333333336
2018-01-25,17.63,17.69,17.69,17.37,115122.47,17.142,16.921936572880703,16.921936572880703,16.561025270678424,16.400242030617196,16.213820326266752,16.561025270678424,16.400242030617196,75.79253455397749,70.71687169413559,60.565545974451794,50.0
2018-01-26,17.58,17.62,17.78,17.33,123715.43,17.422,17.041584468720576,17.041584468720576,16.658070482994763,16.47635544799673,16.258613102454728,16.658070482994763,16.47635544799673,74.52835636931829,71.98736658586316,66.9053870189529,50.0
2018-01-29,17.75,17.37,18.01,16.98,203155.05,17.732,17.17038729258956,17.17038729258956,16.762063770328595,16.55852606425501,16.307511033521784,16.762063770328595,16.55852606425501,75.57445980176773,73.18306432449802,68.4002733699586,50.0
2018-01-30,17.56,17.36,17.98,17.1,227038.05,17.742,17.241225966664185,17.241225966664185,16.83805769696397,16.623137285915977,16.348576245537462,16.83805769696397,16.623137285915977,73.51464579904322,73.29359148267974,72.85148284995279,41.66666666666667
2018-01-31,15.8,17.3,17.39,15.8,255423.0,17.264,16.979184881816153,16.979184881816153,16.739195059157876,16.57003165456656,16.330590139126397,16.739195059157876,16.57003165456656,49.00976386602881,65.19898227712943,97.57741909933067,41.66666666666667
2018-02-01,14.22,14.22,14.22,14.22,86745.0,16.582,16.477514903304122,16.477514903304122,16.49927172019046,16.41841670911065,16.261390462433727,16.49927172019046,16.41841670911065,32.67317591068587,54.35704682164824,97.72478864357299,33.33333333333333
2018-02-02,15.35,12.8,15.64,12.8,510425.75,16.136,16.272512193612464,16.272512193612464,16.38981727064851,16.34948659884545,16.231508807927703,16.38981727064851,16.34948659884545,36.90667243393292,48.54025535907646,71.80742120936354,41.66666666666667
2018-02-26,14.05,14.0,14.78,13.82,468603.81,15.396,15.868419067501106,15.868419067501106,16.16697753058675,16.201132624726387,16.15998392897925,16.16697753058675,16.201132624726387,32.01844591680937,43.032985544987426,65.06206480134355,41.66666666666667
2018-05-17,12.68,12.81,13.5,12.65,359405.0,14.419999999999998,15.288706509773633,15.288706509773633,15.83488443243563,15.973962777969847,16.045886095242224,15.83488443243563,15.973962777969847,21.518940836509536,35.86163730882813,64.54703025346531,41.66666666666667
2018-05-18,11.41,11.41,11.41,11.41,43021.0,13.542000000000002,14.583487144360243,14.583487144360243,15.413466867441759,15.679513566487923,15.893889829824447,15.413466867441759,15.679513566487923,14.345960557673024,28.689745058443094,57.377314059983235,33.33333333333333
2018-05-21,10.8,10.27,11.27,10.27,671537.75,12.857999999999999,13.895580390840198,13.895580390840198,14.974089070542544,15.364706239617735,15.726877048518727,14.974089070542544,15.364706239617735,11.731662866669545,23.037050994518577,45.647827250216636,25.0
2018-05-22,10.43,10.32,10.66,10.28,359262.28,11.873999999999999,13.265474865232889,13.265474865232889,14.541318682871825,15.04633809512627,15.553208948567294,14.541318682871825,15.04633809512627,8.475505305796057,18.183202431611072,37.5985966832411,16.666666666666664
2018-05-23,10.39,10.35,10.55,10.3,191700.12,11.142,12.742661253372363,12.742661253372363,14.145954998788795,14.745929185763286,15.383923409270004,14.145954998788795,14.745929185763286,6.141134416542979,14.169179759921708,30.22527044667917,16.666666666666664
2018-05-24,10.07,10.38,10.42,10.0,239229.0,10.620000000000001,12.256722843668296,12.256722843668296,13.757768808427958,14.444256335068882,15.209696412244757,13.757768808427958,14.444256335068882,4.371207584108621,10.903189034650678,23.96715193573479,16.666666666666664
2018-05-25,9.8,10.07,10.18,9.7,185828.92,10.297999999999998,11.810045963001333,11.810045963001333,13.380838445720533,14.144626894096698,15.032329316761322,13.380838445720533,14.144626894096698,3.315261534211208,8.373879867837521,18.491116535090146,8.333333333333332
2018-05-28,8.99,9.82,9.82,8.83,354342.97,9.936,11.297310333364726,11.297310333364726,12.962663355651912,13.812070320284008,14.834220158834722,12.962663355651912,13.812070320284008,2.7911474861335432,6.512969073936195,13.9566122495415,8.333333333333332
2018-07-09,8.6,8.35,8.98,8.31,279073.41,9.57,10.806890272752957,10.806890272752957,12.547171607494588,13.475807718975362,14.62981949788932,12.547171607494588,13.475807718975362,2.8573285646388538,5.294422237503748,10.168609583233536,8.333333333333332
2018-07-10,8.26,8.4,8.52,8.02,268783.59,9.144,10.3438193140706,10.3438193140706,12.138869549637961,13.1393039951705,14.420972956974914,12.138869549637961,13.1393039951705,2.708098561164859,4.432314345390785,7.880745913842636,8.333333333333332
2018-07-11,7.72,8.02,8.02,7.48,267159.62,8.674,9.866761256966855,9.866761256966855,11.718024830624822,12.78967147935305,14.201268925598686,11.718024830624822,12.78967147935305,2.6126644292730385,3.825764373351536,6.2519642615085305,0.0
2018-07-12,7.87,7.61,8.07,7.6,205759.95,8.288,9.503713755700154,9.503713755700154,11.35154627532722,12.47227331939479,13.99368633787414,11.35154627532722,12.47227331939479,3.334913541083985,3.662147429262352,4.316615205619087,8.333333333333332
2018-07-13,8.0,7.8,8.28,7.6,262773.62,8.09,9.230311254663762,9.230311254663762,11.032351391962724,12.18373955685319,13.797172031714332,11.032351391962724,12.18373955685319,4.347458700591935,3.890584519705546,2.976836157932768,16.666666666666664
2018-07-16,7.82,7.79,7.9,7.63,179757.56,7.934,8.973891026543079,8.973891026543079,10.726413164156751,11.902207972540081,13.6011991782155,10.726413164156751,11.902207972540081,4.450817215919737,4.0773287517769425,3.3303518234913536,16.666666666666664
2018-07-17,8.32,7.82,8.6,7.73,425018.88,7.946000000000001,8.855001748989793,8.855001748989793,10.497230958046584,11.671097780763303,13.428045106798598,10.497230958046584,11.671097780763303,7.618374267977498,5.257677257177128,0.536283235576386,25.0
2018-07-18,8.07,8.19,8.26,8.05,261192.0,8.016000000000002,8.712274158264375,8.712274158264375,10.266066104899291,11.4387688916818,13.252371496739627,10.266066104899291,11.4387688916818,10.083157060755141,6.866170525036465,0.43219745359911244,25.0
2018-07-19,7.57,8.09,8.13,7.5,259415.31,7.956,8.504587947670851,8.504587947670851,10.009297904432692,11.18917089867007,13.066064234551442,10.009297904432692,11.18917089867007,7.513661435402283,7.082000828491738,6.21867961467065,25.0
2018-07-20,7.75,7.63,7.83,7.53,191328.56,7.906000000000001,8.367390139003422,8.367390139003422,9.794126675439102,10.967288905207486,12.891767046533362,9.794126675439102,10.967288905207486,7.8392963028468,7.3344326532767585,6.324705354136677,33.33333333333333
2018-07-23,7.65,7.73,7.73,7.55,146997.52,7.872,8.236955568275528,8.236955568275528,9.589924134921091,10.753270266161843,12.719905831892923,9.589924134921091,10.753270266161843,7.072017296360406,7.2469608676379735,7.596848010193108,33.33333333333333
2018-07-24,7.93,7.62,8.17,7.62,264481.91,7.794,8.181145464952705,8.181145464952705,9.431836122071463,10.57112379737721,12.562859739043974,9.431836122071463,10.57112379737721,9.816719013900126,8.103546916392023,4.677202721375817,41.66666666666667
2018-07-25,8.28,7.93,8.4,7.87,325777.97,7.836,8.199119016779486,8.199119016779486,9.322137443778942,10.423309358836747,12.422438108255648,9.322137443778942,10.423309358836747,16.421022552476618,10.876038795086888,-0.21392871969256788,50.0
