date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-07-11,8.97,9.03,8.99,8.93,523645.03,0.06,0.67,8.99,8.99,8.99,523645.03,523645.03,523645.03
2016-07-12,9.01,9.15,9.13,8.99,846107.75,0.14,1.56,9.06,9.06,9.06,684876.39,684876.39,684876.39
2016-07-13,9.12,9.53,9.16,9.09,1078529.88,0.03,0.33,9.093,9.093,9.093,816094.22,816094.22,816094.22
2016-07-14,9.18,9.45,9.29,9.17,797806.0,0.13,1.42,9.143,9.143,9.143,811522.17,811522.17,811522.17
2016-07-15,9.31,9.37,9.25,9.23,479597.81,-0.05,-0.54,9.164,9.164,9.164,745137.29,745137.29,745137.29
2016-07-18,9.35,9.83,9.55,9.35,1487076.12,0.3,3.24,9.276,9.228,9.228,937823.51,868793.77,868793.77
2016-07-19,9.72,9.88,9.49,9.35,1079327.62,-0.05,-0.52,9.348,9.266,9.266,984467.49,898870.03,898870.03
2016-07-20,9.52,9.54,9.3,9.28,714629.94,-0.2,-2.1,9.376,9.27,9.27,911687.5,875840.02,875840.02
2016-07-21,9.31,9.39,9.31,9.23,894348.88,0.02,0.21,9.38,9.274,9.274,930996.07,877896.56,877896.56
2016-07-22,9.29,9.35,9.22,9.21,767104.69,-0.09,-0.97,9.374,9.269,9.269,988497.45,866817.37,866817.37
2016-07-25,9.21,9.28,9.19,9.12,929452.88,-0.03,-0.33,9.302,9.289,9.262,876972.8,907398.16,872511.51
2016-07-26,9.17,9.25,9.23,9.14,1196622.12,0.04,0.43,9.25,9.299,9.259,900431.7,942449.59,899520.73
2016-07-27,9.22,9.25,9.25,9.06,1430417.88,0.02,0.22,9.24,9.308,9.258,1043589.29,977638.39,940358.97
2016-07-28,9.19,9.22,9.15,9.11,705610.12,-0.09,-0.97,9.208,9.294,9.251,1005841.54,968418.81,923591.19
2016-07-29,9.17,9.2,9.16,9.14,1097914.88,0.03,0.33,9.196,9.285,9.245,1072003.58,1030250.51,935212.77
2016-08-01,9.15,9.24,9.22,9.14,788916.94,0.06,0.66,9.202,9.252,9.243,1043896.39,960434.6,926069.28
2016-08-02,9.2,9.23,9.19,9.16,668263.0,-0.03,-0.33,9.194,9.222,9.24,938224.56,919328.13,910904.21
2016-08-03,9.11,9.21,9.15,9.1,1057040.62,-0.05,-0.54,9.174,9.207,9.235,863549.11,953569.2,919022.9
