date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-01-02 00:00:00,15.99,16.16,16.0,15.68,60926.66,0.0,0.0,16.06,16.005,15.287,138271.56,118548.03,87873.1
2018-01-03 00:00:00,15.9,16.17,15.9,15.87,32450.8,-0.1,-0.62,16.152,15.995,15.401,124469.08,111275.55,87811.29
2018-01-04 00:00:00,15.8,15.9,15.67,15.66,27247.0,-0.23,-1.45,16.066,15.985999999999999,15.502,98741.48,105732.34,88089.69
2018-01-05 00:00:00,15.66,15.86,15.57,15.54,32086.0,-0.1,-0.64,15.828,15.974,15.58,55234.95,100655.24,87796.35
2018-01-08 00:00:00,15.43,15.97,15.92,15.42,34449.27,0.35,2.25,15.812000000000001,15.945,15.658,37431.95,90714.31,87128.5
2018-01-09 00:00:00,15.91,16.07,15.9,15.61,35295.0,-0.02,-0.13,15.792,15.925999999999998,15.737,32305.61,85288.59,87067.45
2018-01-10 00:00:00,15.95,16.14,15.97,15.82,39732.33,0.07,0.44,15.806,15.979000000000001,15.821,33761.92,79115.5,87714.77
2018-01-11 00:00:00,15.97,16.88,16.51,15.88,164367.23,0.54,3.38,15.974,16.02,15.934000000000001,61185.97,79963.73,95122.53
2018-01-12 00:00:00,16.46,16.65,16.48,16.27,126984.25,-0.03,-0.18,16.156,15.992,15.994000000000002,80165.62,67700.28,96602.23
2018-01-15 00:00:00,16.46,16.6,16.55,16.1,71283.63,0.07,0.42,16.282,16.047,16.015,87532.49,62482.22,93245.62
2018-01-16 00:00:00,16.53,16.65,16.35,16.31,42674.63,-0.2,-1.21,16.372,16.082,16.044,89008.41,60657.01,89602.52
2018-01-17 00:00:00,16.36,16.36,16.29,15.96,63177.8,-0.06,-0.37,16.436,16.121,16.058,93697.51,63729.71,87502.63
2018-01-18 00:00:00,16.21,16.4,16.18,16.17,52324.0,-0.11,-0.68,16.37,16.172,16.079,71288.86,66237.41,85984.88
2018-01-19 00:00:00,16.24,16.34,16.2,15.81,132477.34,0.02,0.12,16.314,16.235,16.105,72387.48,76276.55,88465.89
2018-01-23 00:00:00,16.21,17.72,17.51,16.21,208150.48,1.31,8.09,16.506,16.394000000000002,16.17,99760.85,93646.67,92180.49
2018-01-24 00:00:00,17.51,18.42,18.19,17.38,418685.28,0.68,3.88,16.874000000000002,16.623,16.275,174962.98,131985.7,108637.14
2018-01-25 00:00:00,17.69,17.69,17.63,17.37,115122.47,-0.56,-3.08,17.142,16.789,16.384,185351.91,139524.71,109320.11
2018-01-26 00:00:00,17.62,17.78,17.58,17.33,123715.43,-0.05,-0.28,17.422,16.896,16.458,199630.2,135459.53,107711.63
2018-01-29 00:00:00,17.37,18.01,17.75,16.98,203155.05,0.17,0.97,17.732,17.023,16.508,213765.74,143076.61,105388.45
2018-01-30 00:00:00,17.36,17.98,17.56,17.1,227038.05,-0.19,-1.07,17.742,17.124000000000002,16.586,217543.26,158652.05,110567.14
2018-01-31 00:00:00,17.3,17.39,15.8,15.8,255423.0,-1.76,-10.02,17.264,17.069000000000003,16.576,184890.8,179926.89,120291.95
2018-02-01 00:00:00,14.22,14.22,14.22,14.22,86745.0,-1.58,-10.0,16.582,16.862000000000002,16.492,179215.31,182283.61,123006.66
2018-02-02 00:00:00,12.8,15.64,15.35,12.8,510425.75,1.13,7.95,16.136,16.779,16.476,256557.37,228093.79,147165.6
2018-02-26 00:00:00,14.0,14.78,14.05,13.82,468603.81,-1.3,-8.47,15.395999999999999,16.564,16.4,309647.12,261706.43,168991.49
2018-05-17 00:00:00,12.81,13.5,12.68,12.65,359405.0,-1.37,-9.75,14.42,16.081,16.238,336120.51,276831.88,185239.28
2018-05-18 00:00:00,11.41,11.41,11.41,11.41,43021.0,-1.27,-10.02,13.542,15.402999999999999,16.012999999999998,293640.11,239265.46,185625.58
2018-05-21 00:00:00,10.27,11.27,10.8,10.27,671537.75,-0.61,-5.35,12.857999999999999,14.72,15.755,410598.66,294906.98,217215.85
2018-05-22 00:00:00,10.32,10.66,10.43,10.28,359262.28,-0.37,-3.43,11.874,14.005,15.450999999999999,380365.97,318461.67,226960.6
2018-05-23 00:00:00,10.35,10.55,10.39,10.3,191700.12,-0.04,-0.38,11.142000000000001,13.269,15.145999999999999,324985.23,317316.18,230196.39
2018-05-24 00:00:00,10.38,10.42,10.07,10.0,239229.0,-0.32,-3.08,10.62,12.52,14.822000000000001,300950.03,318535.27,238593.66
2018-05-25 00:00:00,10.07,10.18,9.8,9.7,185828.92,-0.27,-2.68,10.298,11.92,14.495,329511.61,311575.86,245751.38
2018-05-28 00:00:00,9.82,9.82,8.99,8.83,354342.97,-0.81,-8.27,9.936,11.397,14.13,266072.66,338335.66,260309.64
2018-07-09 00:00:00,8.35,8.98,8.6,8.31,279073.41,-0.39,-4.34,9.57,10.722000000000001,13.751,250034.88,315200.43,271647.11
2018-07-10 00:00:00,8.4,8.52,8.26,8.02,268783.59,-0.34,-3.95,9.144,10.142999999999999,13.354000000000001,265451.58,295218.4,278462.42
2018-07-11 00:00:00,8.02,8.02,7.72,7.48,267159.62,-0.54,-6.54,8.674,9.647,12.864,271037.7,285993.87,281412.88
2018-07-12 00:00:00,7.61,8.07,7.87,7.6,205759.95,0.15,1.94,8.288,9.293,12.347999999999999,275023.91,302267.76,270766.61
2018-07-13 00:00:00,7.8,8.28,8.0,7.6,262773.62,0.16,2.04,8.09,9.013,11.867,256710.04,261391.35,278149.17
2018-07-16 00:00:00,7.79,7.9,7.82,7.63,179757.56,-0.18,-2.25,7.934,8.752,11.379000000000001,236846.87,243440.88,280951.27
2018-07-17 00:00:00,7.82,8.6,8.32,7.73,425018.88,0.5,6.39,7.946000000000001,8.545,10.907,268093.93,266772.75,292044.46
2018-07-18 00:00:00,8.19,8.26,8.07,8.05,261192.0,-0.25,-3.0,8.016,8.345,10.433,266900.4,268969.05,293752.16
2018-07-19 00:00:00,8.09,8.13,7.57,7.5,259415.31,-0.5,-6.2,7.956,8.122,10.021,277631.47,276327.69,293951.78
2018-07-20 00:00:00,7.63,7.83,7.75,7.53,191328.56,0.18,2.38,7.906000000000001,7.997999999999999,9.698,263342.46,260026.25,299180.96
2018-07-23 00:00:00,7.73,7.73,7.65,7.55,146997.52,-0.1,-1.29,7.872000000000001,7.903,9.312999999999999,256790.45,246818.66,281009.54
2018-07-24 00:00:00,7.62,8.17,7.93,7.62,264481.91,0.28,3.66,7.794,7.87,9.007,224683.06,246388.49,270803.45
2018-07-25 00:00:00,7.93,8.4,8.28,7.87,325777.97,0.35,4.41,7.836,7.926,8.787,237600.25,252250.33,269122.1
2018-07-26 00:00:00,8.54,9.11,9.11,8.41,635016.19,0.83,10.02,8.144,8.05,8.672,312720.43,295175.95,298721.86
2018-07-27 00:00:00,9.11,9.51,8.79,8.76,547844.75,-0.32,-3.51,8.352,8.129,8.571,384023.67,323683.07,292537.21
2018-07-30 00:00:00,8.64,8.72,8.22,8.08,293510.53,-0.57,-6.49,8.466000000000001,8.169,8.461,413326.27,335058.36,289249.62
2018-07-31 00:00:00,8.26,8.5,8.3,8.2,197189.23,0.08,0.97,8.54,8.167,8.356,399867.73,312275.4,289524.07
2018-08-01 00:00:00,8.2,8.29,7.98,7.9,189384.72,-0.32,-3.85,8.48,8.158,8.252,372589.08,305094.67,287031.86
2018-08-02 00:00:00,7.92,8.09,7.68,7.28,181797.59,-0.3,-3.76,8.193999999999999,8.169,8.146,281945.36,297332.9,286830.29
2018-08-03 00:00:00,7.67,7.77,7.48,7.43,118475.5,-0.2,-2.6,7.932,8.142000000000001,8.07,196071.51,290047.59,275036.92
2018-08-06 00:00:00,7.54,7.78,7.78,7.45,178401.92,0.3,4.01,7.843999999999999,8.155,8.029,173049.79,293188.03,270003.35
